,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$
103,Avatar ,2009,Action,PG-13,162,Twentieth Century Fox,"$237,000,000","$749,766,139","$1,993,811,448","$2,743,577,587"
1,Star Wars: Episode VII - The Force Awakens ,2015,Action,PG-13,138,Walt Disney Studios Motion Pictures,"$245,000,000","$936,662,225","$1,131,561,399","$2,068,223,624"
0,Jurassic World ,2015,Sci-Fi,PG-13,124,Universal Pictures,"$150,000,000","$652,270,625","$1,018,130,012","$1,670,400,637"
188,The Lion King ,2019,Adventure,PG,118,Walt Disney Studios Motion Pictures,"$260,000,000","$543,638,043","$1,113,305,351","$1,656,943,394"
128,The Avengers ,2012,Adventure,PG-13,143,Walt Disney Studios Motion Pictures,"$220,000,000","$623,357,910","$895,455,078","$1,518,812,988"
4,Furious 7 ,2015,Thriller,PG-13,137,Universal Pictures,"$190,000,000","$353,007,020","$1,162,040,651","$1,515,047,671"
190,Frozen II ,2019,Fantasy,PG,103,Walt Disney Studios Motion Pictures,"$150,000,000","$477,373,578","$972,653,355","$1,450,026,933"
2,Avengers: Age of Ultron ,2015,Action,PG-13,141,Walt Disney Studios Motion Pictures,"$250,000,000","$459,005,868","$943,800,000","$1,402,805,868"
167,Star Wars: Episode VIII - The Last Jedi ,2017,Action,PG-13,152,Walt Disney Studios Motion Pictures,"$317,000,000","$620,181,382","$712,358,507","$1,332,539,889"
180,Jurassic World: Fallen Kingdom ,2018,Sci-Fi,PG-13,128,Universal Pictures,"$170,000,000","$417,719,760","$890,748,184","$1,308,467,944"
143,Frozen ,2013,Family,PG,102,Walt Disney Studios Motion Pictures,"$150,000,000","$400,738,009","$880,064,273","$1,280,802,282"
168,Beauty and the Beast ,2017,Family,PG,129,Walt Disney Studios Motion Pictures,"$160,000,000","$504,014,165","$759,506,961","$1,263,521,126"
176,The Fate of the Furious ,2017,Crime,PG-13,136,Universal Pictures,"$250,000,000","$226,008,385","$1,009,996,733","$1,236,005,118"
138,Iron Man 3 ,2013,Adventure,PG-13,130,Walt Disney Studios Motion Pictures,"$200,000,000","$409,013,994","$805,797,258","$1,214,811,252"
6,Minions ,2015,Animation,PG,91,Universal Pictures,"$74,000,000","$336,045,770","$823,352,627","$1,159,398,397"
160,Captain America: Civil War ,2016,Sci-Fi,PG-13,147,Walt Disney Studios Motion Pictures,"$250,000,000","$408,084,349","$745,211,944","$1,153,296,293"
42,The Lord of the Rings: The Return of the King ,2003,Adventure,PG-13,201,New Line Cinema,"$94,000,000","$377,027,325","$763,654,686","$1,140,682,011"
193,Spider-Man: Far from Home ,2019,Sci-Fi,PG-13,129,Sony Pictures Entertainment (SPE),"$160,000,000","$390,532,085","$741,395,911","$1,131,927,996"
191,Captain Marvel ,2019,Adventure,PG-13,123,Walt Disney Studios Motion Pictures,"$160,000,000","$426,829,839","$701,444,955","$1,128,274,794"
119,Transformers: Dark of the Moon ,2011,Action,PG-13,154,DreamWorks,"$195,000,000","$352,390,543","$771,403,536","$1,123,794,079"
