,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$,imdb_rating
0,Avengers: Endgame ,2019,Action,PG-13,181,Walt Disney Studios Motion Pictures,"$356,000,000","$858,373,000","$1,939,128,328","$2,797,501,328",8.4
1,Avatar ,2009,Sci-Fi,PG-13,162,Twentieth Century Fox,"$237,000,000","$749,766,139","$1,993,811,448","$2,743,577,587",7.9
2,Star Wars: Episode VII - The Force Awakens ,2015,Sci-Fi,PG-13,138,Walt Disney Studios Motion Pictures,"$245,000,000","$936,662,225","$1,131,561,399","$2,068,223,624",7.8
3,Jurassic World ,2015,Adventure,PG-13,124,Universal Pictures,"$150,000,000","$652,270,625","$1,018,130,012","$1,670,400,637",6.9
4,The Lion King ,2019,Family,PG,118,Walt Disney Studios Motion Pictures,"$260,000,000","$543,638,043","$1,113,305,351","$1,656,943,394",8.5
5,The Avengers ,2012,Sci-Fi,PG-13,143,Walt Disney Studios Motion Pictures,"$220,000,000","$623,357,910","$895,455,078","$1,518,812,988",8.0
6,Furious 7 ,2015,Adventure,PG-13,137,Universal Pictures,"$190,000,000","$353,007,020","$1,162,040,651","$1,515,047,671",7.1
7,Frozen II ,2019,Musical,PG,103,Walt Disney Studios Motion Pictures,"$150,000,000","$477,373,578","$972,653,355","$1,450,026,933",6.8
8,Avengers: Age of Ultron ,2015,Action,PG-13,141,Walt Disney Studios Motion Pictures,"$250,000,000","$459,005,868","$943,800,000","$1,402,805,868",7.3
9,Star Wars: Episode VIII - The Last Jedi ,2017,Action,PG-13,152,Walt Disney Studios Motion Pictures,"$317,000,000","$620,181,382","$712,358,507","$1,332,539,889",6.9
10,Jurassic World: Fallen Kingdom ,2018,Sci-Fi,PG-13,128,Universal Pictures,"$170,000,000","$417,719,760","$890,748,184","$1,308,467,944",6.1
11,Frozen ,2013,Family,PG,102,Walt Disney Studios Motion Pictures,"$150,000,000","$400,738,009","$880,064,273","$1,280,802,282",7.4
12,Beauty and the Beast ,2017,Fantasy,PG,129,Walt Disney Studios Motion Pictures,"$160,000,000","$504,014,165","$759,506,961","$1,263,521,126",8.0
13,The Fate of the Furious ,2017,Crime,PG-13,136,Universal Pictures,"$250,000,000","$226,008,385","$1,009,996,733","$1,236,005,118",6.6
14,Iron Man 3 ,2013,Action,PG-13,130,Walt Disney Studios Motion Pictures,"$200,000,000","$409,013,994","$805,797,258","$1,214,811,252",7.1
15,Minions ,2015,Animation,PG,91,Universal Pictures,"$74,000,000","$336,045,770","$823,352,627","$1,159,398,397",6.4
16,Captain America: Civil War ,2016,Adventure,PG-13,147,Walt Disney Studios Motion Pictures,"$250,000,000","$408,084,349","$745,211,944","$1,153,296,293",7.8
